,input_rate,output_rate,latency,firewall,router,ndpi_stat,payload_scan,bridge,firewall_drop,router_drop,ndpi_stat_drop,payload_scan_drop,bridge_drop,firewall_cycles,bridge_cycles,ndpi_stat_cycles,nf_router_cycles,payload_scan_cycles
10,0.9996581716765998,1.0,0.14646908883672435,1.0,0.999287272785081,0.9998476484202466,0.9992938973455243,0.9992938971116683,1.0,,0.0,,0.0,0.9973427483590832,0.9993342280848376,0.9992690727873642,0.9959029498649425,0.9978698107173322
11,0.9992083711739461,0.9979144273213326,0.051104159909402265,0.9993360762237609,1.0,1.0,1.0,1.0,1.0,,0.0,,0.0,0.9972689313343194,0.9989838791338116,0.998979310047051,0.997503507528031,0.9981502576718022
12,1.0,0.9995834718277146,0.042514417024458094,0.9999641481160831,0.9993362893407538,0.9993349522344678,0.9993402643115781,0.999327016384104,1.0,,0.0,,0.0,0.9975663110679096,0.9991306774424136,0.9989759995810452,0.996953261091197,0.9973118667485806
13,0.9978148950456718,0.9988696838494605,0.011936764832538953,0.9980679818111442,0.999953632987877,0.9999642304986666,0.9999748293612851,0.9999735045820514,1.0,,0.0,,0.0,0.9971371792201889,0.9993399097897008,0.99926470007278,0.9973445512814918,0.9988189302981367
14,0.9976828163359674,0.9981140210936239,0.15176495165005527,0.9976789224782681,0.9980552350343844,0.9980883188731812,0.9980486131143664,0.9980459629262864,1.0,,0.0,,0.0,0.9975272360625479,0.9988356949916141,0.9993278782462719,0.9982928776979311,0.9976056515668963
15,0.9891451561438198,0.9783378020739146,0.013416491206852005,0.982739309665336,0.9976922475680502,0.9976802815987112,0.9976723783041017,0.9976737023041078,1.0,,0.0,,0.0,0.9974770264552455,0.9993924330958412,0.9995464422480851,0.9970609543553124,0.9982244307968342
16,0.9502683768917689,0.9561943162348256,0.018087478857779515,0.9510356215023665,0.9827965137305971,0.9827842714878655,0.9827846078894718,0.9827726792497823,1.0,,0.0,,0.0,0.9972481179572,0.999235340023388,0.999587096880711,0.9975769066764378,0.9982482915056603
17,0.9512550920379558,0.9552188996974168,0.007196142999290832,0.9523342564086902,0.9511238701352724,0.9512011266068123,0.9511053719110907,0.9510748859869046,1.0,,0.0,,0.0,0.9978163708212239,0.9989490736356802,0.9989636195843042,0.9948494116971036,0.9969210297126802
18,0.9495097698801345,0.9411926559442259,0.001302892200788333,0.9256584630031796,0.9524565905408646,0.9524119904667655,0.9524778341062817,0.9524923908471579,1.0,,0.0,,0.0,0.9973610976777186,0.999593113295838,0.999460314723472,0.9983764325224437,0.9989298621014107
19,0.9523968104100975,0.0,0.0059051619086362885,0.1421331339791541,0.920375586045914,0.9204496226317609,0.9203504945202526,0.9203266222647621,1.0,,0.0,,0.0,0.9978228831835861,0.9988438439486077,0.9995127428958085,0.9973759372983105,0.9067939392785382
20,0.9542773894991322,0.0010782543899353688,0.0015722665376601828,0.1429803007176352,0.14469455399571038,0.14470783603790507,0.03647457384618289,0.031043025246821378,1.0,,0.0,,0.0,0.9975309398387681,0.9995116220228796,0.9992000752070476,0.9975289603405767,0.9987413378085368
21,0.9540335197173632,0.0010585774008091858,0.005803459352878549,0.14040792804659682,0.1460706606769319,0.146083968241982,0.04190050245231571,0.041894886053143184,1.0,,0.002577714956568479,,0.0,0.997774134805771,0.23255890485484046,0.3256450179727052,0.9979943366049006,0.9990737686762164
22,0.9537582447552099,0.0013921736107484367,0.007307007947459177,0.13986351055008076,0.14615975157879676,0.14612967371590802,0.04190050245231571,0.041894886053143184,1.0,,0.0654169568046005,,0.13672978007943853,0.997795920673505,0.014668159203630172,0.012122544346326904,0.9998118759847473,0.999442820245992
23,0.953650472990857,0.05740453737947072,0.007544313910893902,0.137770490845487,0.13640910012227644,0.13645203641070278,0.03647457384618289,0.041894886053143184,1.0,,0.1300429749253971,,0.26834275403678676,0.997996295299498,0.01478838058734107,0.012255030159831096,0.9993490372987508,0.9997276147219101
