,input_rate,output_rate,latency,firewall,router,ndpi_stat,payload_scan,bridge,firewall_cycles,bridge_cycles,ndpi_stat_cycles,nf_router_cycles,payload_scan_cycles
0,0.35421246180136,0.35420116298686,9.821,0.354964,0.283056,0.283024,0.283061,0.283078,0.0490297519,0.092663827,0.0825740041,0.0840248656,0.0928212293
1,0.35342940746277,0.35307676341056,167.898,0.353529,0.354978,0.354941,0.354967,0.354967,0.2311453921,0.28243006,0.2755898866,0.2762903791,0.2702264469
2,0.35320391883556,0.35340621995527,10.519,0.353986,0.353521,0.353515,0.353516,0.35351,0.2859743958,0.2890104699,0.2890121081,0.2887321136,0.2889018967
3,0.35400229218486,0.35406030649383,192.605,0.354675,0.353991,0.353955,0.353977,0.353977,0.2889842454,0.2891038107,0.288974272,0.2889250418,0.2891828429
4,0.35314130548184,0.35253184845692,9.721,0.353021,0.354671,0.354653,0.354684,0.354689,0.2890975496,0.2891228168,0.2890990888,0.2888943943,0.28890955
5,0.96067770977012,0.78436087007419,581.661,0.867539,0.353008,0.353003,0.353,0.352995,0.289101733,0.2890670794,0.2721180891,0.2887671651,0.2891128125
6,3.298891494454,3.273879178797,1098.627,3.301284,0.86759,0.867466,0.867632,0.867677,0.2889845783,0.2890350439,0.2891254536,0.2887763596,0.2890387701
7,3.2922961307574,3.2728976337632,76.381,3.294936,3.3013,3.301204,3.301272,3.301292,0.289056734,0.2889958038,0.2888140886,0.2882484104,0.2889681559
8,3.2943244684477,3.2815154785729,78.39,3.29814,3.295008,3.2949,3.294984,3.295004,0.2889300998,0.2890428927,0.2889409881,0.2693610455,0.2888878264
9,3.2966823770758,3.288583461643,203.379,3.300312,3.299872,3.298096,3.299876,3.299864,0.2890868226,0.2891063679,0.2890438248,0.2890087314,0.2888905978
10,3.2981657119478,3.2909178816587,109.814,3.302424,3.300292,3.301896,3.30032,3.300336,0.2890096547,0.2890206584,0.288976708,0.2883013129,0.2888135991
11,3.2968405855237,3.2841180440265,159.92,3.300424,3.302444,3.302356,3.302452,3.302468,0.2889918929,0.2889383696,0.2889003562,0.2886296142,0.2888686819
12,3.2991727489368,3.2895598259219,42.995,3.302316,3.30044,3.300348,3.30046,3.300436,0.2890634482,0.2889728491,0.2888994839,0.2885167494,0.2887040129
13,3.2927353610341,3.2872325791155,167.068,3.296604,3.302304,3.302248,3.302376,3.302388,0.2889601908,0.2890219929,0.2889755558,0.2885970096,0.2890000164
14,3.2923462530023,3.284768803052,62.985,3.295432,3.296572,3.296584,3.29656,3.296568,0.289054046,0.2889035646,0.2889922031,0.2887915273,0.2887617154
15,3.2671940376227,3.2202900727309,53.61,3.250428,3.295476,3.295352,3.295424,3.295444,0.2890419646,0.2890343294,0.2890497942,0.2885388391,0.2888832503
16,3.1526618235259,3.1480930642752,20.237,3.154924,3.2505,3.250376,3.250472,3.250452,0.2889868848,0.2889974319,0.2890605066,0.2886446696,0.2888879368
17,3.1555687173723,3.1449127991394,172.848,3.158836,3.154868,3.155016,3.15482,3.154744,0.2891236174,0.2889301946,0.2888962218,0.2880852145,0.2886272483
18,3.1504269434164,3.0991813887278,21.852,3.078478,3.158892,3.158672,3.158964,3.159024,0.2890140699,0.2890814645,0.2890270998,0.2888086658,0.2890218046
19,3.1589322555962,0.030500394532377,26.95,0.718191,3.062027,3.062167,3.061959,3.061903,0.2891251844,0.2889054786,0.2890409145,0.2886034474,0.2709253178
20,3.1644725007244,0.034015954000893,15.063,0.720743,0.719945,0.719945,0.393192,0.376809,0.2890549372,0.2890623241,0.2889585273,0.288634835,0.2889847764
21,3.1637540526792,0.033951798801452,8.631,0.712994,0.7241,0.7241,0.409575,0.409575,0.2891134546,0.1089230128,0.1114783552,0.2887302915,0.2890500694
22,3.1629430839851,0.035039461717977,13.654,0.711354,0.724369,0.724238,0.409575,0.409575,0.2891186967,0.0577455569,0.0288659214,0.2891030994,0.2891225551
23,3.1626255849786,0.2176631520448,8.925,0.705049,0.694928,0.695018,0.393192,0.409575,0.2891669107,0.0577737941,0.0289008311,0.2890081634,0.2891784918
24,3.1605723195821,0.26496596227629,13.543,0.704016,0.705061,0.705061,0.641838,0.641838,0.2891579492,0.0578228965,0.0288922935,0.2890174325,0.2891740974
25,2.8746610216941,0.12881880554377,15.184,0.29003,0.704016,0.704016,0.704016,0.704016,0.289133166,0.0578186151,0.0278194046,0.2889659728,0.2891943387
26,1.7958478336874,0.15681791620399,15.443,0.525989,0.289998,0.289998,0.289998,0.289966,0.2890165111,0.0543003483,0.028889658,0.2806325363,0.2891635607
27,1.7983093954231,0.1423411559229,11.303,0.588434,0.52602,0.52602,0.52602,0.526049,0.289152076,0.0576541344,0.0288632807,0.2882558193,0.2889146815
28,1.7938221967905,0.033407987647896,15.795,0.612703,0.588435,0.588435,0.55232,0.552323,0.2891803914,0.057842021,0.0289577668,0.2890899455,0.2892319912
29,1.7932241437923,1.7490935971463,14.355,1.794788,0.616243,0.616243,0.425962,0.425962,0.2891643801,0.0578282805,0.0288475924,0.2891416868,0.2892052588
30,1.790966954751,1.7894863654587,14.954,1.79183,1.807716,1.807582,1.807747,1.807793,0.2891634379,0.0575387917,0.0288844066,0.2891106663,0.2891749887
31,1.7900414617737,1.7901641954531,9.126,1.791675,1.791832,1.791832,1.791811,1.791811,0.2891346009,0.2331526684,0.19779118,0.2887869605,0.2890610992
32,1.7934887511605,1.7928854931709,10.445,1.794845,1.79168,1.79165,1.791683,1.79168,0.2891376264,0.2890119633,0.2779544114,0.2888310708,0.2890553718
33,1.7886006896307,1.7876926843132,13.913,1.789341,1.794838,1.794805,1.794827,1.79485,0.2891180871,0.2891186592,0.2890954257,0.2887098437,0.2889739286
