feature,500_64,500_256,500_imix,1000_64,1000_256,1000_imix,1500_64,1500_256,1500_imix,2000_64,2000_256,2000_imix,2500_64,2500_256,2500_imix,3000_64,3000_256,3000_imix,3500_64,3500_256,3500_imix,4000_64,4000_256,4000_imix,4500_64,4500_256,4500_imix,5000_64,5000_256,5000_imix,5500_64,5500_256,5500_imix,6000_64,6000_256,6000_imix,6500_64,6500_256,6500_imix,7000_64,7000_256,7000_imix,7500_64,7500_256,7500_imix,8000_64,8000_256,8000_imix,8500_64,8500_256,8500_imix,9000_64,9000_256,9000_imix,9500_64,9500_256,9500_imix,10000_64,10000_256,10000_imix
branches,1.463455622821979,1.9515922969322208,2.0507701914472536,0.8501153889682457,1.6385191920618625,1.8961352236611666,0.43020519281819597,1.3509831878003167,1.604232598326294,-0.013484449762112903,1.0796186278551638,1.423132291311041,-0.4367572007486825,0.8298165761906039,1.2305681560880477,-0.7999795454497722,0.6635149399267515,1.0941521100105296,-1.1386330673506484,0.47134373843401467,0.9575428586486592,-1.3427100482466436,0.32374324228257223,0.8980865793381521,-1.3980606560187148,0.12396865537844201,0.7342470706447787,-1.4135675032947612,-0.030351624037845897,0.6674534235966658,-1.3725149630609284,-0.21076046008634994,0.5609300236811701,-1.3088491151073256,-0.35783332506281174,0.47263417462598284,-1.2249475744498546,-0.5063921187302898,0.34950957781235714,-1.115383641729535,-0.7130279416418964,0.2716221883770906,-0.9940628431276161,-0.7941310155006653,0.1741551790103826,-0.8759337663409023,-0.9436215754378317,0.06151187478749807,-0.7620033235242486,-1.1014232053888624,-0.08117205572619174,-0.6726679963892244,-1.2261326839162705,-0.19768765204436106,-0.569236426321734,-1.3592894126014683,-0.2891048530211454,-0.44830362270308965,-1.5103704462958776,-0.4151660697197664
bus-cycles,0.08189700755191659,0.13242757003910094,0.24162665043316134,-0.08771769842260937,0.10432676766982912,0.18698820773653063,-0.09454602667084694,0.03662035393124892,0.20427023458108468,-0.0495544249760322,-0.042458158056090815,0.13633823703781126,-0.07985526814275296,0.07295200225396985,0.1292265874175111,-0.10851239985477304,-0.0025878768389048412,0.06229635327442044,-0.0059475809596511555,-0.04078771915951676,0.15259042705402778,-0.08264474604940417,-0.0894575167938698,0.1371715423887241,-0.1080431226117824,-0.08708365148236667,0.08458988909245117,-0.1079161279321159,-0.09404514497075556,0.2674249946852091,-0.06482324091113122,-0.10637598749971722,0.1286732297327867,-0.08998152498552331,-0.10132726287957708,0.03947148500172446,-0.0907558691451746,-0.10419608405546522,0.06869630827834869,-0.01532941998710456,-0.05920537385805762,0.11611086008308413,-0.10374229439488125,-0.10037239923514726,-0.021587661863977557,-0.09721165635926866,-0.08955906009657905,0.1488541439402938,-0.12225895774664045,-0.10873426034676578,0.09990263312527932,-0.0539282860589549,-0.11552388711932796,0.1002578861018605,-0.1443533749967316,-0.1131945442371587,0.11113518580930686,-0.14924575544413432,-0.028182312909492233,0.11719811983264734
cache-misses,-0.16070332798742026,0.18482280785721908,0.017580955868219637,0.010833871173928315,-0.04768474835976554,-0.07662536568534403,-0.1759119582207023,0.07048055746038764,-0.14061421036175517,-0.046416247954192,0.10188127145390877,-0.1678604287930353,-0.14755188358485752,0.0259827335133069,-0.15466509887397006,-0.010329396712799073,-0.08366209478855212,0.024054696488295082,-0.0023727435922376106,-0.024968351146148097,0.05331003566079179,0.05193913571671228,0.016100551111533797,0.06622031870124055,-0.11204264933209811,-0.05156213823209043,-0.12559951231568436,0.09734559883404571,0.04306297653609751,0.2126884390071352,-0.003945098954928799,-0.07735052160088608,0.008330724904083146,-0.021201719958329646,-0.003254215537988761,-0.012675808995135146,-0.08132905713981682,0.07076393250980406,0.09053665645935081,0.12869866569536406,-0.02469417115733219,-0.04900047794024187,-0.11723576878489929,-0.08818731847591457,0.06448161633313972,0.04734912864784609,-0.02544315063897562,-0.026978725759264674,-0.04397036183445012,-0.010631997798016627,-0.1537246949489155,0.10423353513844516,-0.01647754859615565,-0.044316430478870204,0.23453423116480218,0.26596587399852506,0.04292087105408927,0.02534242292966976,0.1850990776325351,0.08442653869029644
cache-references,-0.882369460959751,-1.02649614487514,-1.04548359175246,-0.6794710969738524,-0.9584369563599118,-0.995752051787444,-0.4741467203479809,-0.8974107093436321,-0.9452950208969222,-0.273333358099633,-0.8318229203684923,-0.8975487655965241,-0.043625031352251396,-0.7668203602317412,-0.8491379731622408,0.16655176601353266,-0.7055953388656864,-0.8027991470548175,0.3735668035126091,-0.6418120531117719,-0.7579402301504935,0.5731690687921004,-0.5797666883076409,-0.7136263125731385,0.7653832838431278,-0.5193315096906179,-0.6674637955268882,0.954106420672411,-0.45007702515186176,-0.6216128884038894,1.1352644402595518,-0.38110288771793854,-0.5759065140671361,1.3126969400978266,-0.31663478836993836,-0.5303431865955683,1.4931517525034466,-0.24992528458300806,-0.4838521938775531,1.6731311560940874,-0.18417793310527514,-0.436093479276005,1.8563532193831023,-0.12249664760218174,-0.38934656085890135,2.0444818105698896,-0.05444421338207911,-0.3391004021709836,2.2395572198020584,0.00840769612667238,-0.28959139219844193,2.43783784549099,0.07733809518107354,-0.24166683248699686,2.6407101286608565,0.14872512242838282,-0.19315682315981458,2.8431465303656913,0.21568961032884504,-0.144254619729653
context-switches,0.017382679162432236,0.00971385012018274,-0.005623807964316248,-0.02096146604881526,0.002045021077933256,-0.013292637006565763,-0.013292637006565763,-0.00562380796431625,-0.028630295091064746,0.017382679162432236,0.017382679162432232,-0.0056238079643162525,-0.0056238079643162525,-0.013292637006565739,0.002045021077933249,-0.02096146604881526,0.025051508204681727,-0.020961466048815217,0.01738267916243223,0.009713850120182731,-0.00562380796431624,-0.00562380796431625,-0.013292637006565737,-0.00562380796431625,0.025051508204681713,0.017382679162432236,0.002045021077933219,0.0020450210779332403,-0.005623807964316268,0.009713850120182733,-0.005623807964316256,0.002045021077933241,-0.005623807964316256,0.017382679162432236,0.009713850120182737,0.009713850120182737,0.025051508204681733,-0.005623807964316264,-0.005623807964316239,-0.02096146604881525,-0.005623807964316264,-0.020961466048815245,0.01738267916243223,0.025051508204681727,-0.03629912413331422,0.01738267916243223,0.009713850120182742,-0.013292637006565737,0.002045021077933239,0.009713850120182744,-0.005623807964316242,0.017382679162432198,0.025051508204681723,-0.028630295091064722,-0.01329263700656578,0.00204502107793324,0.002045021077933216,-0.005623807964316242,0.00971385012018274,-0.013292637006565732
cpu-clock,0.04922285660907201,0.07784494297457793,0.17291953053197637,-0.1062879005125922,0.06271098482008033,0.14951103684519393,-0.10590479739985163,0.0015301153691145949,0.17159390859379353,-0.05356983722700441,-0.07100813084458832,0.11135459791052807,-0.07687072603943895,0.05136367385328324,0.1093962317116762,-0.10298009562560075,-0.02835738285249799,0.049545395934268675,0.0011114988319988217,-0.05665874546479692,0.14613122588540972,-0.07550931363663264,-0.10192940390616989,0.12948196033770365,-0.10001489718717023,-0.09212066997159513,0.08863072645013523,-0.10125045490663273,-0.10390706883371491,0.2716209182771576,-0.05841680981695678,-0.10391056232875759,0.13879604499552317,-0.08805015061177028,-0.10283998469467467,0.04734418914167208,-0.08584902222678724,-0.10211753863272677,0.08488439297550746,-0.008879510166380299,-0.05987811526915881,0.1390769272237666,-0.09705895084782028,-0.09189032232519004,0.003315672917393658,-0.08191143165996816,-0.07998614302212002,0.163560232556078,-0.09889258272108666,-0.10133100218275688,0.12832575984094433,-0.010584361880907448,-0.10535272412510502,0.13331061310064735,-0.10096733719004204,-0.09818656566897356,0.14195717362026578,-0.10232295091379859,-0.015195203826928953,0.14545008321492453
cycles,0.08174558999813443,0.13160571610714578,0.24077511071880603,-0.08765255611031987,0.10482442167038006,0.18739533222086743,-0.09424223062609115,0.03606736216596333,0.20417579231603888,-0.048941806914295324,-0.04224793941303515,0.13595037239016888,-0.07918916399284455,0.07188038228585221,0.12928441012251685,-0.10839189919011344,-0.0036709934757999598,0.06229200350024165,-0.005888711575777191,-0.04119625533265062,0.15335633866742235,-0.08265560986515824,-0.09017587433710832,0.1364672710399876,-0.10761057618078534,-0.08775092331941524,0.08509190789057913,-0.10648962687990268,-0.09389422301560732,0.26758641277842193,-0.06468027731682818,-0.10665742066971944,0.12922921887515731,-0.08978127732383266,-0.10088784873126283,0.04035244156522585,-0.09023076975739189,-0.10411385913059014,0.0680819666645771,-0.014139748933117039,-0.05916655008034399,0.116183950776455,-0.10302330538942774,-0.10053947066459977,-0.02004323103151091,-0.09634383928809252,-0.08968210264128679,0.14954353509290752,-0.12165025758263556,-0.1095296319712168,0.10042393206077573,-0.05508773745446063,-0.116131062251586,0.0996200260158697,-0.14644912737996293,-0.11491833327272212,0.1122198820776582,-0.1507847246311191,-0.02830695264706664,0.11799254137505298
dTLB-load-misses,-0.42756445870996523,-0.4291987619244952,-0.4267554309330268,-0.4182823456505565,-0.42799849077270297,-0.42905888373616896,-0.41158489547035915,-0.4276969215628825,-0.42751302858665924,-0.4001552572250491,-0.4231699914502702,-0.4269377821068384,-0.38377390761885943,-0.4211589378035568,-0.42544374620219566,-0.3622993385580571,-0.42224159145708173,-0.42458385362950235,-0.30222841857681443,-0.4222769574676406,-0.42269499149487755,-0.21267681215131828,-0.42417954164372995,-0.4176244145099688,0.024968087629788846,-0.4210958266915028,-0.40752219472200596,0.2281267366500955,-0.4242223523573626,-0.39625407863411655,0.40541237003129926,-0.4188846911432427,-0.3835090112806897,0.6197963831611927,-0.42296347068817547,-0.3817632284098746,0.838795701049556,-0.4164775044054554,-0.3735313984952605,1.0721818709185313,-0.41373311079638764,-0.35786463025541565,1.3760528962947853,-0.4136445158930424,-0.3521395287790575,1.8051219044110927,-0.4107442680858963,-0.347169763646128,2.53818155240314,-0.40772174800558275,-0.3458474111109909,3.8048813418663032,-0.4079324756856867,-0.3510526608656071,3.413866476813724,-0.3962333597464692,-0.3482101058363251,2.912545656232868,-0.38503323714493753,-0.33928164554058876
dTLB-store-misses,-0.45443297082666945,-0.45796310307957455,-0.40402840679397384,-0.40146190523713204,-0.4340059082497243,-0.4691831991050241,-0.30909647188477035,-0.4071769031276459,-0.4470387748915306,-0.28476718203366796,-0.4209348780159948,-0.45662737736225917,-0.2409267558117795,-0.3953366487334427,-0.38051963416922235,0.08588716362338178,-0.3548450777028237,-0.41695632355799095,0.10716336612062036,-0.37373605570485613,-0.4136647137546065,0.2348110402060709,-0.35568467672513626,-0.36491072507259353,0.3819126052744226,-0.3410584801205323,-0.32590753412698303,0.4207154373624357,-0.3547878323149387,-0.3822560776017324,0.3924552975432336,-0.2526525194302128,-0.36898468851040556,0.39816075453576666,-0.29611130973286826,-0.319553296071754,0.4731140490731236,-0.2932394994406401,-0.32450502212380183,0.5180039740729028,0.10598029477099809,-0.3187136970494414,0.7134874328020153,0.13001381678469495,-0.22436375691706828,1.066968162093581,-0.22601433226775086,-0.31490687875509243,2.4393977139412377,-0.22289445862802126,-0.22474539283630127,1.7514417241359093,-0.16952267532328918,-0.2691678138350199,2.8190586672921865,-0.10294628921309608,-0.2607527418159328,2.0113071624396253,0.03194292643980026,-0.24543960055670952
dTLB-stores,0.5461487845239574,0.9456912225798474,1.042066754569172,0.08059077776705015,0.6397133159707911,0.9219648234888201,-0.10795214743919221,0.35604510292632024,0.6205591068418953,-0.34256924538371025,0.10102391339264916,0.4624960369657252,-0.5261365797868914,-0.1228620369175402,0.2920571623494963,-0.6568036424065886,-0.23495189091719385,0.19479584093120356,-0.7775824446617721,-0.37228623543592043,0.07916534804041347,-0.734724358810563,-0.44502359117919177,0.0756037730626022,-0.5174116614523325,-0.596105840142194,-0.06815452804311312,-0.27711765973794344,-0.6675297533274981,-0.07619322604692999,0.01275801995431228,-0.7802982142716698,-0.14116076933320543,0.31501703441734047,-0.8587030395416938,-0.18791885910366624,0.6392062832161383,-0.943148758693862,-0.2756696874238504,0.9995874355016493,-1.1092026086220592,-0.29728196396738144,1.3843627693070246,-1.1131505249703886,-0.3461566464821267,1.7679122785220258,-1.2055238603548675,-0.41127413514564737,2.143925069019097,-1.316290040129974,-0.5184323780386831,2.4791289589001204,-1.3624569988306803,-0.5875306790850512,2.838853596399917,-1.3936102856688126,-0.6211506153047759,3.218595500974646,-1.4587830792859542,-0.7061209236792936
