3000_64; 500_64:-0.7181366431983288 1000_64:-0.5934694654601388 1500_64:-0.3424015646386331 2000_64:0.30300502951470654 2500_64:0.9201754521493405 3000_64:1.0000000000000002 3500_64:0.9751887203448216 4000_64:0.9586980803960873 4500_64:0.9050645277132379 5000_64:0.8434303367362631 5500_64:0.7650077144602833 6000_64:0.6762531372105232 6500_64:0.5790003445508144 7000_64:0.4904164018060449 7500_64:0.38923615595889666 8000_64:0.2936870852378282 8500_64:0.21306059982854006 9000_64:0.18053076891837563 9500_64:0.10544540828476334 10000_64:0.011542692133264858 500_256:-0.7908051478884673 1000_256:-0.7967358284493473 1500_256:-0.746320846012287 2000_256:-0.6886864357060921 2500_256:-0.6148288619385516 3000_256:-0.5442814171596031 3500_256:-0.429174089889982 4000_256:-0.31092949447479096 4500_256:-0.13484050960163962 5000_256:0.10665887012651674 5500_256:0.3956205952069031 6000_256:0.5044844902358547 6500_256:0.6603809484111826 7000_256:0.7527864913862873 7500_256:0.8017681975759806 8000_256:0.8197474385156687 8500_256:0.8439752706239945 9000_256:0.7779209013884837 9500_256:0.8661265594403155 10000_256:0.8866493771361963 500_imix:-0.9028449416158174 1000_imix:-0.9027349364013454 1500_imix:-0.8938053757584511 2000_imix:-0.8763181466125234 2500_imix:-0.8530524037406068 3000_imix:-0.8295809086424838 3500_imix:-0.8002236569345783 4000_imix:-0.7830005829289101 4500_imix:-0.7250877544293928 5000_imix:-0.6977023812629645 5500_imix:-0.5185659816361001 6000_imix:-0.5729165963432125 6500_imix:-0.48032452722819663 7000_imix:-0.39096171014826325 7500_imix:-0.24201450544298225 8000_imix:-0.08089778296210585 8500_imix:0.1332736298680863 9000_imix:0.3315126336180082 9500_imix:0.3650497055987433 10000_imix:0.48399519841960204 
 ; 
 ; 
3500_64; 500_64:-0.8258212516434608 1000_64:-0.7346367835412284 1500_64:-0.5102606342388345 2000_64:0.12929386530998896 2500_64:0.8416658347983386 3000_64:0.9751887203448216 3500_64:0.9999999999999998 4000_64:0.9885498484046731 4500_64:0.9585821734045038 5000_64:0.9123789467518477 5500_64:0.8505848939897737 6000_64:0.7720226610847984 6500_64:0.6852018040200922 7000_64:0.6011674663110458 7500_64:0.5013203649560348 8000_64:0.4068107139797127 8500_64:0.321847397890976 9000_64:0.29637392905058857 9500_64:0.21814638952576323 10000_64:0.12640526830011015 500_256:-0.8821189879894177 1000_256:-0.8926511256177149 1500_256:-0.8571365205743264 2000_256:-0.8104698856111566 2500_256:-0.7377969589844084 3000_256:-0.6764307813662988 3500_256:-0.572379972323669 4000_256:-0.46092975878199877 4500_256:-0.2821807660297755 5000_256:-0.050841136410320134 5500_256:0.24950382567402593 6000_256:0.3830764321037877 6500_256:0.5553575447504708 7000_256:0.6775221519427586 7500_256:0.732580022533701 8000_256:0.7732988759218674 8500_256:0.8099294605595467 9000_256:0.7609419836988016 9500_256:0.8575943675078934 10000_256:0.8864662079289447 500_imix:-0.9504205437378728 1000_imix:-0.948902451909978 1500_imix:-0.9339479723706712 2000_imix:-0.9175540277281931 2500_imix:-0.8879224219299513 3000_imix:-0.8699166759832998 3500_imix:-0.8356237207634375 4000_imix:-0.805841862186766 4500_imix:-0.7623393397372088 5000_imix:-0.7108476891681433 5500_imix:-0.5213154123638317 6000_imix:-0.6255419449369065 6500_imix:-0.48008157630415077 7000_imix:-0.38481535384764926 7500_imix:-0.23184020024884316 8000_imix:-0.04489624039870985 8500_imix:0.16732718162331212 9000_imix:0.36486241962668037 9500_imix:0.4204177802711346 10000_imix:0.5379868429524233 
 ; 
 ; 
4000_64; 500_64:-0.8587981580047622 1000_64:-0.7831399671295783 1500_64:-0.5764525259698451 2000_64:0.0567906110403848 2500_64:0.7907586101031943 3000_64:0.9586980803960873 3500_64:0.9885498484046731 4000_64:1.0 4500_64:0.983252607738607 5000_64:0.9554953446643935 5500_64:0.9069402723749788 6000_64:0.8416912748697266 6500_64:0.7657633854653686 7000_64:0.6931365970705983 7500_64:0.6006782235334108 8000_64:0.5160724808227557 8500_64:0.4351130993214997 9000_64:0.4085217000735229 9500_64:0.33670606693931804 10000_64:0.24699698898959296 500_256:-0.9002904377257875 1000_256:-0.9226130759511484 1500_256:-0.8933172589526741 2000_256:-0.8562214846536057 2500_256:-0.8005750987564381 3000_256:-0.7473908573262452 3500_256:-0.6500049660074385 4000_256:-0.5463702305084328 4500_256:-0.3809546877790708 5000_256:-0.14940260472591238 5500_256:0.1551082551180908 6000_256:0.28573590012597266 6500_256:0.4710972688800245 7000_256:0.6012992661887656 7500_256:0.6613779680684301 8000_256:0.7038246935338028 8500_256:0.7480435437326077 9000_256:0.7160376675565704 9500_256:0.8144753658816986 10000_256:0.8447991395604164 500_imix:-0.9739017089126893 1000_imix:-0.9713096530608308 1500_imix:-0.9669792506824749 2000_imix:-0.9555948324546357 2500_imix:-0.9347343367829674 3000_imix:-0.916189498425406 3500_imix:-0.890984388988208 4000_imix:-0.8567057699928432 4500_imix:-0.8284449199582389 5000_imix:-0.7808135711017785 5500_imix:-0.5694493725390184 6000_imix:-0.706523778203211 6500_imix:-0.5564865164573795 7000_imix:-0.4703305750129301 7500_imix:-0.2981161208115174 8000_imix:-0.1270145396081036 8500_imix:0.0846612029188603 9000_imix:0.2869570546551689 9500_imix:0.3550872791195302 10000_imix:0.483081252372121 
 ; 
 ; 
4500_64; 500_64:-0.8927646241761796 1000_64:-0.8495286988020246 1500_64:-0.6594903331186536 2000_64:-0.07435656490797278 2500_64:0.7031337784708176 3000_64:0.9050645277132379 3500_64:0.9585821734045038 4000_64:0.983252607738607 4500_64:1.0 5000_64:0.9856031077783014 5500_64:0.9594281850732514 6000_64:0.9133080721229158 6500_64:0.856313152066327 7000_64:0.7886501391599636 7500_64:0.7171930432498557 8000_64:0.6383815060320738 8500_64:0.5662809077399816 9000_64:0.5388470109705875 9500_64:0.4720607370105012 10000_64:0.38976211811241046 500_256:-0.9248676056079785 1000_256:-0.9507721174647163 1500_256:-0.9408268708058266 2000_256:-0.9188807135047085 2500_256:-0.8787350335030907 3000_256:-0.8296627457806472 3500_256:-0.7517481984787656 4000_256:-0.6597584759214502 4500_256:-0.503586160905918 5000_256:-0.2975319939661846 5500_256:0.01357415690717343 6000_256:0.14166762094449084 6500_256:0.3323006103525138 7000_256:0.4833726097324694 7500_256:0.5569903046523893 8000_256:0.6009207850504521 8500_256:0.6522385017465102 9000_256:0.6405680647755972 9500_256:0.7287622912213487 10000_256:0.7679852278984917 500_imix:-0.977309559315178 1000_imix:-0.975219243112278 1500_imix:-0.9767728031426306 2000_imix:-0.9688571624138422 2500_imix:-0.9504010741340142 3000_imix:-0.9454421751009401 3500_imix:-0.9285624649421459 4000_imix:-0.8902159111859802 4500_imix:-0.8644667389182316 5000_imix:-0.8337033810772826 5500_imix:-0.6039013957553135 6000_imix:-0.7681786726791461 6500_imix:-0.6124311560769988 7000_imix:-0.5229178919710457 7500_imix:-0.34905270013967665 8000_imix:-0.18270761482493644 8500_imix:0.03463349723322623 9000_imix:0.22093723959173936 9500_imix:0.29748248765874463 10000_imix:0.4235006610422076 
