,input_rate,output_rate,latency,l2fwd_instructions,l2fwd_branches,l2fwd_branch-misses,l2fwd_branch-load-misses,l2fwd_cache-misses,l2fwd_cache-references,l2fwd_cycles,l2fwd_L1-dcache-load-misses,l2fwd_L1-dcache-loads,l2fwd_LLC-load-misses,l2fwd_LLC-stores,l2fwd_LLC-loads
682,7451.3418201523,7169.9732315948,6.989,2178207857.0,427928021.0,1711773.0,1711960.0,100.0,1842263.0,618377845.0,1737854.0,694842706.0,75.0,317298.0,378661.0
683,4649.1366090396,4579.2321590811,9.456,1800371741.0,356943796.0,1604033.0,1604677.0,145.0,3554332.0,614284578.0,3398253.0,605772668.0,25.0,1441004.0,1535841.0
684,4245.8550273341,4483.7296529162,13.187,2108532701.0,414262566.0,1714613.0,1715312.0,132.0,2725055.0,619033737.0,4376545.0,537309616.0,63.0,2135492.0,2249584.0
685,6881.6990926858,7180.527776622,4.829,2244553332.0,441170842.0,1732201.0,1738320.0,1161.0,760450.0,618955867.0,454853.0,753248440.0,75.0,196892.0,296290.0
686,9533.1388549082,9189.4195230895,8.032,2093788258.0,411006462.0,1649260.0,1641889.0,937.0,2488239.0,617391455.0,2582217.0,635076683.0,25.0,969114.0,904626.0
687,5742.5301844192,5371.327955956,5.005,2190897370.0,439597905.0,1736379.0,1751761.0,419.0,996875.0,616898076.0,1066313.0,700070723.0,75.0,1277908.0,1354552.0
688,2650.6950894505,3179.435208578,19.568,1797403093.0,351495969.0,1635821.0,1636867.0,65.0,4321603.0,618868566.0,4443860.0,554901523.0,50.0,1842440.0,1946686.0
689,7203.6018064547,6544.4680343846,9.283,1791084871.0,354775493.0,1599802.0,1600127.0,122.0,3773970.0,618915522.0,3759263.0,588771194.0,13.0,1558248.0,1652681.0
690,1431.4512620562,2131.9725209038,10.659,2033840738.0,399007971.0,1675471.0,1675222.0,30.0,2621641.0,616907014.0,2611154.0,614941933.0,13.0,1207802.0,1298494.0
691,7867.5973883893,7407.8162563713,8.8,2080352609.0,408504307.0,1684149.0,1684224.0,20.0,2504230.0,617775622.0,2956622.0,619000883.0,75.0,1325409.0,1429294.0
692,3653.3535693899,3947.3228461396,9.287,1844399998.0,365276200.0,1604948.0,1601620.0,155.0,3802889.0,618929261.0,4061413.0,571167919.0,50.0,1841932.0,1843596.0
693,6286.196002892,6025.0969251685,21.69,1777075607.0,351043637.0,1633689.0,1636471.0,30.0,3733308.0,616968159.0,3874196.0,559508592.0,781.0,2176766.0,2296274.0
694,3530.5738016559,3340.6161839508,9.936,2058085766.0,406230605.0,1686762.0,1693836.0,25.0,2277250.0,618942892.0,2385968.0,647643830.0,375.0,1470215.0,1589676.0
695,1960.1082487319,2248.1033256722,5.161,1972780483.0,391557719.0,1826558.0,1827194.0,220.0,2594588.0,616044841.0,2625094.0,640994177.0,13.0,660096.0,719767.0
696,4991.0264255662,5149.1211597186,13.408,2141329139.0,420688169.0,1713834.0,1713626.0,150.0,2050858.0,616975998.0,2719811.0,609686049.0,138.0,1854862.0,1970212.0
697,6157.355511236,5791.37810717,4.73,2131342460.0,418404228.0,1711116.0,1711271.0,90.0,2144242.0,618988047.0,802191.0,729147019.0,150.0,218124.0,240072.0
698,3262.282246674,3914.1534550944,11.344,1895562532.0,375236432.0,1617557.0,1616143.0,206.0,3404183.0,618101585.0,4101297.0,568490881.0,163.0,1932573.0,1994895.0
699,9433.3880025435,8930.1606133618,8.0,2019682297.0,397036099.0,1673501.0,1679407.0,907.0,1978033.0,615870707.0,2081768.0,657100340.0,63.0,1147503.0,1398641.0
700,4745.802226775,5058.0973129747,10.874,1994948644.0,388255223.0,1661189.0,1657108.0,410.0,3356693.0,617628419.0,3465539.0,594645468.0,100.0,1337082.0,1404938.0
701,7892.6864061057,7901.9071005674,8.438,2095302590.0,412282797.0,1687276.0,1685681.0,30.0,2220381.0,617248210.0,2303199.0,649255720.0,13.0,788058.0,863144.0
702,7926.4045704644,7893.2299627087,6.704,2222205683.0,440510207.0,1705282.0,1705455.0,170.0,1106642.0,616197035.0,1313239.0,674275933.0,0.0,907106.0,996664.0
703,7815.9791671601,7996.9258098494,8.503,2023550551.0,396900031.0,1671255.0,1670197.0,25.0,2716988.0,618947512.0,3035328.0,611934117.0,38.0,1473234.0,1501296.0
704,9022.1082495284,8419.9736719636,10.784,1923432495.0,377190434.0,1652376.0,1653549.0,50.0,3101759.0,618985916.0,2584077.0,638079949.0,0.0,1198853.0,1300465.0
705,3681.1452326441,4254.754222044,4.858,2202445989.0,419158811.0,1792780.0,1784265.0,125.0,2770915.0,616950897.0,3056927.0,602604231.0,100.0,1467421.0,1398951.0
706,8895.5773606557,8428.5450111946,256.384,1776850320.0,354239553.0,1636122.0,1642643.0,215.0,3495233.0,618908910.0,3620088.0,589739455.0,63.0,2058841.0,2296126.0
707,4180.1157391542,4099.4631972797,7.926,1433855665.0,280012961.0,1269436.0,1272488.0,65.0,3105388.0,448902546.0,3203894.0,438295315.0,1265.0,1232526.0,1249248.0
708,3985.8332026272,4557.1039178812,15.37,1326065091.0,261886850.0,1335959.0,1413071.0,140.0,3848701.0,617370459.0,3862295.0,556285192.0,492.0,1823011.0,1901530.0
709,9136.4416104838,8613.8104017062,11.959,1865993998.0,365104708.0,1647386.0,1647160.0,45.0,3787727.0,618925562.0,3931985.0,573592127.0,53.0,1863237.0,1976812.0
710,4546.2176840648,5089.4350961885,11.427,1819711696.0,356063832.0,1635613.0,1635767.0,150.0,4099100.0,618932734.0,3992488.0,575956337.0,50.0,1818436.0,1934655.0
711,9556.6581490656,9155.0076619467,14.771,1969237332.0,375336012.0,1620198.0,1621733.0,162.0,3420713.0,618999258.0,4569692.0,549453129.0,25.0,2149770.0,2238372.0
712,5362.7275043492,5030.2866601174,7.492,1977864260.0,387646654.0,1669113.0,1673514.0,931.0,2177743.0,614920942.0,1932421.0,648041024.0,138.0,1238116.0,1614018.0
713,3361.6786591692,3760.9492901824,13.235,1915505478.0,371309648.0,1646973.0,1642631.0,900.0,4329184.0,618941209.0,4472163.0,553473453.0,38.0,1651849.0,1760283.0
714,7133.8355864869,6885.9916123658,8.873,2072251251.0,391365829.0,1627376.0,1628784.0,415.0,2527916.0,618342557.0,2566154.0,635467225.0,38.0,1091388.0,1182741.0
715,4622.6640505335,4570.6490147189,8.403,2126208694.0,417983682.0,1693174.0,1694303.0,25.0,2078519.0,618964381.0,2389254.0,617831649.0,200.0,1565356.0,1660202.0
716,3854.6016158137,3581.919790812,15.174,1783260210.0,348203373.0,1632212.0,1633759.0,75.0,4414025.0,617633317.0,3905320.0,586611791.0,13.0,1644525.0,1748458.0
717,1761.0795924627,2334.2353594068,8.451,2081881813.0,408902699.0,1640273.0,1640077.0,135.0,2587853.0,617789775.0,3529518.0,594838342.0,125.0,1646749.0,1757906.0
718,7224.4110056789,7043.3191348613,39.293,1776219615.0,346495071.0,1629461.0,1631706.0,65.0,3955176.0,618381377.0,3781373.0,565166724.0,225.0,1822409.0,1936984.0
719,5544.102701422,5607.9462142631,11.082,1866423153.0,368961533.0,1563007.0,1563080.0,471.0,1971556.0,578986162.0,2299755.0,595873167.0,375.0,1212031.0,1510728.0
720,6546.720650759,6888.1614353682,11.728,2053573573.0,400853802.0,1616315.0,1613032.0,411.0,2616718.0,606498522.0,2855311.0,569839691.0,1013.0,830762.0,902326.0
721,9125.9734098391,8312.3002490502,11.584,1964645069.0,385191724.0,1662017.0,1662005.0,200.0,3139933.0,619197413.0,3160404.0,588521010.0,485.0,1770168.0,1895152.0
722,1892.4271116022,2589.1753068727,7.389,2036386517.0,400047281.0,1672856.0,1675425.0,80.0,2525873.0,618904080.0,2624456.0,631370255.0,288.0,1261405.0,1359837.0
723,8509.4208725124,8262.3594848775,7.888,2218085205.0,436236334.0,1840252.0,1836394.0,115.0,1575432.0,617147815.0,1987547.0,653499805.0,50.0,1156701.0,1265132.0
724,5566.1080433244,5065.0927115955,4.704,2131362409.0,418224708.0,1704706.0,1705118.0,70.0,2119374.0,617429965.0,966125.0,711466257.0,175.0,362622.0,404860.0
725,809.49663227554,1006.6007497254,10.656,1934832004.0,378674085.0,1653050.0,1650956.0,281.0,3417934.0,616559401.0,3738983.0,581580209.0,275.0,1617274.0,1685602.0
726,3093.6681825989,3389.4519650433,12.64,1978624222.0,387477520.0,1657197.0,1660881.0,881.0,2973547.0,616833807.0,3064972.0,613527199.0,63.0,1488002.0,1597399.0
727,6238.4892293937,6448.4719901624,10.237,1892161170.0,372882899.0,1606379.0,1600106.0,501.0,3163289.0,617008329.0,3275171.0,585356714.0,25.0,1875658.0,1991967.0
728,8476.0829489407,8604.8954684343,34.022,1781338484.0,347485313.0,1626346.0,1627399.0,846.0,4483448.0,618937970.0,4263213.0,584729250.0,225.0,1262838.0,1344416.0
729,9486.85720747,9019.2710249786,4.841,2366810416.0,464971641.0,1755117.0,1757691.0,85.0,776850.0,619006111.0,1810993.0,666900697.0,138.0,1184197.0,1249751.0
730,5052.5132774231,5196.1912428277,10.867,1818104819.0,356128688.0,1637110.0,1755781.0,120.0,3903916.0,616866731.0,3722056.0,566502150.0,50.0,1769598.0,1879180.0
731,6824.3914665089,7112.9937739064,11.011,1946113788.0,381947428.0,1655333.0,1665339.0,90.0,2182446.0,617758710.0,1872249.0,678472675.0,200.0,895623.0,944457.0
732,8872.7566776088,8120.1937507708,4.87,2334476365.0,458572894.0,1730288.0,1770189.0,145.0,1083256.0,619041511.0,1116226.0,715573911.0,75.0,504926.0,446207.0
733,2229.0395332096,2978.1232366892,5.392,2105411847.0,411730805.0,1686744.0,1637167.0,150.0,2448131.0,617010212.0,2474737.0,623299381.0,50.0,862223.0,906857.0
734,9433.0903701596,8928.4233333034,9.482,1902012830.0,372376811.0,1650176.0,1650002.0,20.0,3578725.0,617608956.0,3673693.0,587228968.0,1377.0,1552953.0,1630771.0
735,4893.9850256288,5397.5619562074,10.567,1735502244.0,343269097.0,1588542.0,1631672.0,120.0,4227653.0,616415705.0,4332343.0,557211736.0,299.0,1936006.0,2060458.0
736,9089.1891359675,8288.1721354451,250.394,1894793021.0,371089994.0,1650143.0,1611437.0,110.0,3506268.0,616997967.0,3891598.0,569627334.0,163.0,2190055.0,2309937.0
737,1523.5999260326,1810.4209029004,7.238,1979520014.0,387905055.0,1663542.0,1664002.0,30.0,3066046.0,618835859.0,2891564.0,601744182.0,0.0,1254906.0,1409857.0
738,4364.3117757144,4333.9955338548,9.133,1767762600.0,350789976.0,1590168.0,1631578.0,160.0,3756709.0,619032837.0,3475943.0,595235743.0,38.0,1733591.0,1972292.0
739,4077.1107432699,4076.9644724267,18.368,2013479308.0,395506725.0,1662562.0,1659284.0,1024.0,3882359.0,595034804.0,4321985.0,536439248.0,38.0,1301416.0,1393780.0
740,4555.7213569367,4997.9247155905,6.745,2076805390.0,415394008.0,1705342.0,1715882.0,882.0,970051.0,618259049.0,1003915.0,697035603.0,200.0,1184803.0,1401782.0
741,8685.3558806612,8378.9777267725,250.631,1813566344.0,352141125.0,1631483.0,1628514.0,412.0,4500963.0,618282546.0,4445251.0,563526888.0,38.0,1696894.0,1796340.0
742,5498.0032797462,5411.3707365298,6.694,1946323333.0,388338405.0,1779677.0,1772853.0,120.0,2492319.0,616247734.0,3179269.0,598118171.0,63.0,1706903.0,1812602.0
743,4646.5651072634,4646.3325627781,49.5,1774023337.0,346414172.0,1629128.0,1629963.0,85.0,4098749.0,618941837.0,2634816.0,611401358.0,200.0,1268226.0,1373256.0
744,5084.1828385706,5468.0182460385,5.021,2362997612.0,465291049.0,1762304.0,1755158.0,40.0,1429911.0,619005148.0,1738553.0,681466935.0,63.0,801709.0,876590.0
745,8230.466543562,7580.4681664272,8.809,1955021648.0,389564615.0,1819132.0,1821087.0,135.0,2443794.0,616974316.0,2551544.0,635067687.0,100.0,1171853.0,1266447.0
746,2528.2759335188,3264.7662313182,7.543,2069633743.0,406435902.0,1681053.0,1683456.0,20.0,2400272.0,618936087.0,2422195.0,619778856.0,0.0,1145756.0,1233135.0
747,9646.8264476484,9351.0788282398,8.093,1941731704.0,380568385.0,1660549.0,1660282.0,115.0,3286747.0,618823368.0,3394358.0,598865701.0,989.0,1087104.0,1200475.0
748,6524.4003927813,6199.8395721756,12.931,1822550265.0,360651512.0,1606677.0,1606979.0,90.0,3554764.0,615619129.0,3753919.0,583415802.0,316.0,2049344.0,2156035.0
749,3829.9517587957,4356.0698767981,9.997,2009378729.0,394314967.0,1668873.0,1668901.0,50.0,2835255.0,617750515.0,2930506.0,595123299.0,63.0,1449982.0,1548160.0
750,8736.1530039677,8375.1209776689,7.033,2031814382.0,398238909.0,1673389.0,1674058.0,40.0,2634234.0,617999008.0,2732326.0,626278277.0,25.0,1210042.0,1325722.0
751,5042.169220056,4960.3137638985,9.536,1842237330.0,364922038.0,1614519.0,1614132.0,65.0,3217931.0,615643026.0,2680582.0,628592706.0,113.0,1423250.0,1715001.0
752,4659.5654830171,5057.125772713,14.247,2056144505.0,403493692.0,1692666.0,1689722.0,222.0,3550674.0,618327344.0,4313084.0,546228264.0,88.0,1279571.0,1360600.0
753,8797.5215845514,8887.3841506142,5.133,2035970758.0,403424877.0,1698059.0,1712325.0,875.0,1148219.0,617052700.0,1195705.0,709806594.0,13.0,1355897.0,1432299.0
754,9918.2426346079,9864.5295220865,28.244,1719093189.0,338490071.0,1774085.0,1768083.0,531.0,4486493.0,616455210.0,4531151.0,554614401.0,88.0,1938976.0,2044307.0
755,8990.7846361986,8696.5298150754,11.731,1907759405.0,373643063.0,1646297.0,1646445.0,95.0,3414117.0,616838689.0,3121189.0,597602608.0,50.0,1317314.0,1416081.0
756,5674.807837621,5304.222457943,8.889,2141865419.0,419617866.0,1696696.0,1697481.0,65.0,2214679.0,617727238.0,3176389.0,607631409.0,150.0,1441990.0,1588583.0
757,2232.5436299223,2501.7161718445,13.299,1725212093.0,341254187.0,1589633.0,1590497.0,180.0,3763934.0,617801928.0,3660686.0,587530406.0,50.0,1709718.0,1812933.0
