,input_rate,output_rate,latency,bridge_instructions,bridge_branches,bridge_branch-misses,bridge_branch-load-misses,bridge_cache-misses,bridge_cache-references,bridge_cycles,bridge_L1-dcache-load-misses,bridge_L1-dcache-loads,bridge_LLC-load-misses,bridge_LLC-stores,bridge_LLC-loads
120,6108.1760493194,6106.549952454,7.014,1779971994.0,350210369.0,1606112.0,1561626.0,1006.0,2414052.0,615478674.0,2263078.0,604500831.0,25.0,960732.0,1363296.0
121,5899.572743709,5665.6392266366,6.797,2320405241.0,439599250.0,1698383.0,1682902.0,491.0,2093066.0,618963953.0,2153501.0,632617214.0,229.0,837923.0,1208382.0
122,3781.0791924811,3868.037062151,49.949,1990600473.0,400744849.0,1624827.0,1680368.0,115.0,1690909.0,619025091.0,1743225.0,659955782.0,138.0,691399.0,990233.0
123,4297.3640793628,3962.8775964819,4.884,1935569699.0,380720317.0,1624163.0,1695528.0,210.0,2632829.0,616868874.0,2712718.0,581740389.0,113.0,1096036.0,1578499.0
124,1695.2369108803,2251.6700924125,12.934,1874078665.0,368938835.0,1615113.0,1615153.0,120.0,2984815.0,618954322.0,3070689.0,576682399.0,138.0,1198785.0,1848712.0
125,6759.3094126797,6554.4472807243,9.514,1858683611.0,370980859.0,1608057.0,1632084.0,135.0,2563927.0,617530291.0,2641597.0,601974102.0,150.0,811707.0,1162247.0
126,5051.6265225633,5225.9298164477,13.526,2185995411.0,430620733.0,1686962.0,1801816.0,160.0,1397788.0,616901813.0,1462429.0,657425835.0,75.0,370245.0,547181.0
127,6703.2903264071,6731.3052752778,7.117,2181016695.0,429412463.0,1685968.0,1686339.0,85.0,1483682.0,619026690.0,1635760.0,658754746.0,723.0,659416.0,898434.0
128,7310.5338320163,7508.9911005943,9.639,2137426413.0,426077702.0,1770474.0,1702264.0,140.0,1229418.0,618998892.0,760201.0,731773264.0,461.0,495342.0,730943.0
129,9119.3268915777,8738.0569108666,7.475,2072528584.0,407939326.0,1683244.0,1683530.0,306.0,2409513.0,618962890.0,3647680.0,517688870.0,264.0,845822.0,1171604.0
130,5238.2304559021,5132.1570389236,13.939,1779988173.0,350063238.0,1601469.0,1603128.0,230.0,3236508.0,618416082.0,3301850.0,555825028.0,125.0,1336907.0,1982780.0
131,4559.6622147108,4855.7740632321,12.605,1718141964.0,339977681.0,1561184.0,1561079.0,255.0,3527776.0,616708897.0,3522471.0,544002886.0,150.0,1400246.0,1967204.0
